"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"286","RT @TheVampsBrad: Had flu for the past week and I’m about two breaking bads away from completing Netflix.",FALSE,0,NA,2019-03-02 16:25:34,FALSE,NA,"1101881241027121152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","runawaywithbrad",815,TRUE,FALSE,NA,NA
"287","Knp tbtb bisa flu gini sih",FALSE,0,NA,2019-03-02 16:25:32,FALSE,NA,"1101881232420298752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gwennary",0,FALSE,FALSE,NA,NA
"288","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:25:28,FALSE,NA,"1101881215542587392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__AnnieMae__",8243,TRUE,FALSE,NA,NA
"289","Studies of Deadly Flu Virus, Once Banned, Are Set to Resume https://t.co/kQr1Z0Yesa #researchethics #bioethics #pandemics",FALSE,0,NA,2019-03-02 16:25:27,FALSE,NA,"1101881212250087424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bioethicalmike",0,FALSE,FALSE,NA,NA
"290","@ohheloise Yes it is. When we get the man flu we can’t do anything. It shuts the whole body down. You guys can stil… https://t.co/bAtA9f1y0r",FALSE,0,"ohheloise",2019-03-02 16:25:23,TRUE,"1101880725094178823","1101881196332621824","1073870336209420289","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NotMyAt_",0,FALSE,FALSE,NA,NA
"291","@darla_tapp No problem Darla. Thank you 😘❤. Could not celebrate it properly. Because I'm still a little struck by the flu",FALSE,0,"darla_tapp",2019-03-02 16:25:18,FALSE,"1101879720155770880","1101881172903243780","2196965384","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fabiennehager83",0,FALSE,FALSE,NA,NA
"292","@Lynn_Nothegger That mobile coverage though 😍

I got flu while I was in Uganda, i was in bed in a tiny guesthouse i… https://t.co/ZB3Ntv5HzG",FALSE,0,"Lynn_Nothegger",2019-03-02 16:25:17,TRUE,"1101436753179824128","1101881171330387974","22757782","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alice_Porter",0,FALSE,FALSE,NA,NA
"293","Jax has the flu and pneumonia and my heart couldn’t hurt anymore seeing him so sick 😭",FALSE,2,NA,2019-03-02 16:25:09,FALSE,NA,"1101881137943756801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_kaileyamos",0,FALSE,FALSE,NA,NA
"294","@mimilamimila Flu?",FALSE,0,"mimilamimila",2019-03-02 16:24:50,FALSE,"1101880882275659782","1101881058172141570","1815952646","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hayuningratri",0,FALSE,FALSE,NA,NA
"295","If I have to have the flu, I’m thankful to have a quilt, a book, and a dog for wonderful company. 📚💕… https://t.co/6qWYrB4P4i",FALSE,0,NA,2019-03-02 16:24:48,TRUE,NA,"1101881049100046336",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","murksmusings",0,FALSE,FALSE,NA,NA
"296","RT @Iamchronicpain: Since the season began in Oct,56 flu-related pediatric deaths have occurred, including8 in the last week alone. Last fl…",FALSE,0,NA,2019-03-02 16:24:32,FALSE,NA,"1101880979201945600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OconnorPeggy",7,TRUE,FALSE,NA,NA
